start	end	corpus	sent_id	left	node	right	node_sentences	schema	cxn_type	syntactic_transitivity	dobj_syntax	dobj_role	dobj_animacy	agent_encoded	agent_gf	agen_animacy	theme_encoded	theme_gf	theme_obl_flag	recipient_encoded	recipient_gf	obj2_syntax	obj2_role	recipient_obl_flag	notes	word_order
11	18	ind_news_2009_300K	31418	"""Thailand"	menawari	Indonesia beras dan gula, tapi saya katakan pada mereka untuk saat ini kita tak membutuhkannya karena tahun ini mampu berswasembada.	"""Thailand <m>menawari</m> Indonesia beras dan gula, tapi saya katakan pada mereka untuk saat ini kita tak membutuhkannya karena tahun ini mampu berswasembada."	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	inanimate	yes	subj	FALSE	yes	obj2		yes	obj1	np	theme			A-v-R-T
123	130	ind_news_2009_300K	76021	Berbicara dalam satu jumpa pers di Gedung Putih, untuk pertamakalinya Obama menyampaikan pendapat bahwa strateginya untuk	menawari	negosiasi kepada musuh utama AS, Iran, akan tergantung kepada bagaimana akhir dari krisis Iran.	Berbicara dalam satu jumpa pers di Gedung Putih, untuk pertamakalinya Obama menyampaikan pendapat bahwa strateginya untuk <m>menawari</m> negosiasi kepada musuh utama AS, Iran, akan tergantung kepada bagaimana akhir dari krisis Iran.	theme_obj_cxn	theme-obj_recipient-oblique	monotransitive	np	theme	inanimate	yes	poss_modif	TRUE	yes	obj1		yes	obl	pp	recipient	kepada		A-v-T-R
150	157	ind_news_2009_300K	76930	Sementara itu raksasa energi AS ConocoPhillips, meminta 26,70 dolar AS per barel untuk menambang di ladang minyak Bai Hassan, namun pemerintah hanya	menawari	4,0 dolar AS per barel.	Sementara itu raksasa energi AS ConocoPhillips, meminta 26,70 dolar AS per barel untuk menambang di ladang minyak Bai Hassan, namun pemerintah hanya <m>menawari</m> 4,0 dolar AS per barel.	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	subj	FALSE	yes	obj1		no						A-v-T
114	121	ind_news_2009_300K	78218	Dalam satu wawancaran dengan jaringan televisi satelit Al-Arabiya minggu lalu, Obama mengatakan bahwa Washington	menawari	Iran dengan tangan terbuka asalkan para pemimpin Iran tidak lagi mengepalkan tangannya (mengancam negara lain).	Dalam satu wawancaran dengan jaringan televisi satelit Al-Arabiya minggu lalu, Obama mengatakan bahwa Washington <m>menawari</m> Iran dengan tangan terbuka asalkan para pemimpin Iran tidak lagi mengepalkan tangannya (mengancam negara lain).	recepient_obj_cxn	recipient-obj	monotransitive	np	recepient	inanimate	yes	subj	FALSE	no			yes	obj1					A-v-R
125	132	ind_news_2009_300K	112045	Konsorsium ini meminta dibayar 4,80 dolar AS per barel dari tiap minyak yang disuling, namun Menteri Perminyakan Irak hanya	menawari	mereka dua dolar AS per barel.	Konsorsium ini meminta dibayar 4,80 dolar AS per barel dari tiap minyak yang disuling, namun Menteri Perminyakan Irak hanya <m>menawari</m> mereka dua dolar AS per barel.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	TRUE	yes	obj2		yes	obj1	np	theme			A-v-R-T
143	150	ind_news_2009_300K	188059	Tevez menghabiskan dua musim terakhir di United melalui penjanjian sewa tetapi memutuskan meninggalkan Old Trafford pada Juni meskipun mereka	menawari	dia kontrak permanen lima tahun.	Tevez menghabiskan dua musim terakhir di United melalui penjanjian sewa tetapi memutuskan meninggalkan Old Trafford pada Juni meskipun mereka <m>menawari</m> dia kontrak permanen lima tahun.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	TRUE	yes	obj2		yes	obj1	np	theme			A-v-R-T
13	20	ind_news_2009_300K	213807	Ketika City	menawari	gaji dua kali lebih tinggi dari yang selama ini diterima dari Everton, tentu ini adalah tawaran yang sangat menggiurkan.	Ketika City <m>menawari</m> gaji dua kali lebih tinggi dari yang selama ini diterima dari Everton, tentu ini adalah tawaran yang sangat menggiurkan.	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	subj	FALSE	yes	obj1		no						A-v-T
47	54	ind_news_2010_300K	13585	Asosiasi sepak bola Polandia mengatakan Smuda	menawari	pemain klub Zaglebie Lubin, Dawid Plizga (25) penampilan pertamanya di tim nasional senior.	Asosiasi sepak bola Polandia mengatakan Smuda <m>menawari</m> pemain klub Zaglebie Lubin, Dawid Plizga (25) penampilan pertamanya di tim nasional senior.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	TRUE	yes	obj2		yes	obj1	np	theme			A-v-R-T
142	149	ind_news_2010_300K	36170	Pada Januari 2009, Than Shwe memerintahkan kroni-kroninya dan pengusaha untuk menjadi pemilik tim-tim olahraga profesional yang baru, dengan	menawari	insentif seperti permata dan tambang batu giok.	Pada Januari 2009, Than Shwe memerintahkan kroni-kroninya dan pengusaha untuk menjadi pemilik tim-tim olahraga profesional yang baru, dengan <m>menawari</m> insentif seperti permata dan tambang batu giok.	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	NA	FALSE	yes	obj1		no						A-v-T
98	105	ind_news_2010_300K	42093	Akan tetapi pelatih Arsenal, Arsene Wenger, seperti yang dikabarkan The Sun, Rabu, hanya berniat	menawari	Arshavin perpanjangan kontrak setahun lebih lama dari kontrak sebelumnya yang akan berakhir dalam 19 bulan mendatang.	Akan tetapi pelatih Arsenal, Arsene Wenger, seperti yang dikabarkan The Sun, Rabu, hanya berniat <m>menawari</m> Arshavin perpanjangan kontrak setahun lebih lama dari kontrak sebelumnya yang akan berakhir dalam 19 bulan mendatang.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	TRUE	yes	obj2		yes	obj1	np	theme			A-v-R-T
40	47	ind_news_2010_300K	62643	Lukito menjelaskan pelaku pertama kali	menawari	Cindy yang sedang bermain.	Lukito menjelaskan pelaku pertama kali <m>menawari</m> Cindy yang sedang bermain.	recepient_obj_cxn	recipient-obj	monotransitive	np	recepient	animate	yes	subj	TRUE	no			yes	obj1					A-v-R
17	24	ind_news_2010_300K	84416	Pemerintah juga	menawari	Pertamina bersedia menukar tabung warga dengan tabung gas resmi.	Pemerintah juga <m>menawari</m> Pertamina bersedia menukar tabung warga dengan tabung gas resmi.	recepient_obj_cxn	double-obj_clausal-theme	monotransitive	np	recepient	inanimate	yes	subj	FALSE	yes	clause		yes	obj1	clause	theme		clausal_theme	A-v-R-T
22	29	ind_news_2010_300K	96107	"""Sebelumnya BI telah"	menawari	"Peruri, tapi pada saat itu kami sudah over kapasitas sehingga otoritas moneter memutuskan untuk melakukan tender internasional,"" kata Tony Pandelaki kepada ANTARA melalui telepon selulernya."	"""Sebelumnya BI telah <m>menawari</m> Peruri, tapi pada saat itu kami sudah over kapasitas sehingga otoritas moneter memutuskan untuk melakukan tender internasional,"" kata Tony Pandelaki kepada ANTARA melalui telepon selulernya."	recepient_obj_cxn	recipient-obj	monotransitive	np	recepient	inanimate	yes	subj	FALSE	no			yes	obj1					A-v-R
117	124	ind_news_2010_300K	97300	Menurut salah seorang sumber terpercaya yang tetap dibiarkan anonim oleh WikiLeaks, Zaw Zaw dan cucu Than Shwe yang	menawari	ide liga sepakbola profesional itu, namun mesti menyakinkan terlebih dahulu dukungan dari Jendral Senior.	Menurut salah seorang sumber terpercaya yang tetap dibiarkan anonim oleh WikiLeaks, Zaw Zaw dan cucu Than Shwe yang <m>menawari</m> ide liga sepakbola profesional itu, namun mesti menyakinkan terlebih dahulu dukungan dari Jendral Senior.	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	subj	TRUE	yes	obj1		no						A-v-T
100	107	ind_news_2010_300K	108104	Sampai sekarang belum jelas apakah Apple menginginkan calon pembeli PC beralih ke iPad, atau hanya	menawari	penggemar Apple gadget mahal lainnya untuk menambah koleksi komputer mereka.	Sampai sekarang belum jelas apakah Apple menginginkan calon pembeli PC beralih ke iPad, atau hanya <m>menawari</m> penggemar Apple gadget mahal lainnya untuk menambah koleksi komputer mereka.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	FALSE	yes	obj2		yes	obj1	np	theme			A-v-R-T
15	22	ind_news_2010_300K	139994	"""Jepang sudah"	menawari	"bantuan pinjaman hingga dua miliar dolar AS,"" katanya."	"""Jepang sudah <m>menawari</m> bantuan pinjaman hingga dua miliar dolar AS,"" katanya."	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	subj	FALSE	yes	obj1		no						A-v-T
48	55	ind_news_2010_300K	154570	Berdasarkan keterangan Huda, kata dia, dirinya	menawari	Ayu yang tidak berani pulang karena takut dimarahi ayahnya untuk menginap di tempat tinggalnya bersama ibu dan adiknya.	Berdasarkan keterangan Huda, kata dia, dirinya <m>menawari</m> Ayu yang tidak berani pulang karena takut dimarahi ayahnya untuk menginap di tempat tinggalnya bersama ibu dan adiknya.	recepient_obj_cxn	double-obj_clausal-theme	monotransitive	np	recepient	animate	yes	subj	TRUE	yes	clause	untuk	yes	obj1	clause	theme		clausal_theme	A-v-R-T
72	79	ind_news_2010_300K	159374	""" Di Thailand lain lagi, hotel-hotel bintang lima tak merasa kampungan"	menawari	tamunya jambu dan buah asli Thailand lainnya.	""" Di Thailand lain lagi, hotel-hotel bintang lima tak merasa kampungan <m>menawari</m> tamunya jambu dan buah asli Thailand lainnya."	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	FALSE	yes	obj2		yes	obj1	np	theme			A-v-R-T
113	120	ind_news_2010_300K	173966	Menurut Ali, ketika barang disimpan dan loker terkunci, anak kunci dipegang oleh orang tak dikenal, yang semula	menawari	jasa simpan barang.	Menurut Ali, ketika barang disimpan dan loker terkunci, anak kunci dipegang oleh orang tak dikenal, yang semula <m>menawari</m> jasa simpan barang.	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	subj	TRUE	yes	obj1		no						A-v-T
22	29	ind_news_2010_300K	176398	Penjaga penjaga toko	menawari	aktivis ACRES yang menyamar sebagai pembeli berbagai bagian tubuh harimau.	Penjaga penjaga toko <m>menawari</m> aktivis ACRES yang menyamar sebagai pembeli berbagai bagian tubuh harimau.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	TRUE	yes	obj2		yes	obj1	np	theme			A-v-R-T
8	15	ind_news_2010_300K	267833	Ia pun	menawari	penulis rokok dengan cara mencabut sebatang dari bungkusnya dan menyodorkan.	Ia pun <m>menawari</m> penulis rokok dengan cara mencabut sebatang dari bungkusnya dan menyodorkan.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	TRUE	yes	obj2		yes	obj1	np	theme			A-v-R-T
20	27	ind_news_2010_300K	289038	""" begitu ia selalu"	menawari	.	""" begitu ia selalu <m>menawari</m>."		intransitive	intransitive				yes	subj	TRUE	no			no					given_dobj	A-v
170	177	ind_news_2010_300K	295642	Salah seorang warga Kecamatan Jamanis, Iwan (30) menerangkan kedatangan pegawai bank tersebut terjadi sekitar sepekan lalu yang datang lengkap dengan identitas diri dan	menawari	pinjaman uang.	Salah seorang warga Kecamatan Jamanis, Iwan (30) menerangkan kedatangan pegawai bank tersebut terjadi sekitar sepekan lalu yang datang lengkap dengan identitas diri dan <m>menawari</m> pinjaman uang.	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	subj	TRUE	yes	obj1		no						A-v-T
33	40	ind_news_2011_300K	313	Selanjutnya, kata Nitta, Nenden	menawari	korban lowongan pekerjaan di Tarakan, Kalimantan Timur, sebagai pelayan di sebuah kafe dengan gaji yang cukup besar setiap bulan.	Selanjutnya, kata Nitta, Nenden <m>menawari</m> korban lowongan pekerjaan di Tarakan, Kalimantan Timur, sebagai pelayan di sebuah kafe dengan gaji yang cukup besar setiap bulan.	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	TRUE	yes	obj2		yes	obj1	np	theme			A-v-R-T
112	119	ind_news_2011_300K	4554	"""Pada pendukung di Liverpool tahu saya tidak akan pergi ke sana, tapi saya pikir klub-klub itu juga tidak akan"	menawari	"saya pekerjaan,"" katanya."	"""Pada pendukung di Liverpool tahu saya tidak akan pergi ke sana, tapi saya pikir klub-klub itu juga tidak akan <m>menawari</m> saya pekerjaan,"" katanya."	recepient_obj_cxn	double-obj_nominal-theme	ditransitive	np	recepient	animate	yes	subj	FALSE	yes	obj2		yes	obj1	np	theme			A-v-R-T
115	122	ind_news_2011_300K	27428	"""Memimpin komisi ini banyak godaannya, saat menyeleksi calon hakim agung yang lalu, ada calon yang ingin jadi dan"	menawari	"Aplhard itu,"" katanya, dalam seminar nasional di Universitas Wijaya Kusuma Surabaya (UWKS), Kamis."	"""Memimpin komisi ini banyak godaannya, saat menyeleksi calon hakim agung yang lalu, ada calon yang ingin jadi dan <m>menawari</m> Aplhard itu,"" katanya, dalam seminar nasional di Universitas Wijaya Kusuma Surabaya (UWKS), Kamis."	theme_obj_cxn	theme-obj	monotransitive	np	theme	inanimate	yes	subj	TRUE	yes	obj1		no						A-v-T
