start	end	corpus	sent_id	left	node	right	node_sentences	schema	clause_type	subordinate_clause_type	syntactic_transitivity	dobj_syntax	dobj_role	dobj_animacy	dobj_concreteness	recipient_syntax	recipient_obl_flag	recipient_animacy	agent_encoded	agent_animacy	agent_core	theme_encoded	theme_core	recipient_encoded	recipient_core	recipient_gf	notes	word_order
64	73	ind_news_2008_300K	98526	"""Banyak yang sudah deklarasikan sebagai capres, di balik layar"	menawarkan	"sebagai wakil (Megawati),"" kata Pramono Anung di Jakarta, Kamis, saat ditanya wakil presiden yang akan mendampingi capres dari PDIP, Megawati Soekarnoputri."	"""Banyak yang sudah deklarasikan sebagai capres, di balik layar <m>menawarkan</m> sebagai wakil (Megawati),"" kata Pramono Anung di Jakarta, Kamis, saat ditanya wakil presiden yang akan mendampingi capres dari PDIP, Megawati Soekarnoputri."	theme_obj_cxn	subordinate	adverbial	monotransitive	pp	theme	inanimate	abstract				yes	FALSE	FALSE	yes	TRUE	no			given_recipient	A-v-T
77	86	ind_news_2008_300K	52511	Jean-Francois Fichot, yang pertama datang ke Bali tahun 1970-an, bukan saja	menawarkan	aneka perhiasan yang didominasi bahan perak, tetapi juga berbagai jenis perlengkapan rumah tangga berhias perak.	Jean-Francois Fichot, yang pertama datang ke Bali tahun 1970-an, bukan saja <m>menawarkan</m> aneka perhiasan yang didominasi bahan perak, tetapi juga berbagai jenis perlengkapan rumah tangga berhias perak.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	concrete				yes	TRUE	TRUE	yes	TRUE	no			given_recipient	A-v-T
108	117	ind_news_2009_300K	45676	Keppres No 80 Tahun 2003 menentukan pemenang tender untuk pengadaan barang dan jasa pemerintah adalah yang	menawarkan	harga terendah.	Keppres No 80 Tahun 2003 menentukan pemenang tender untuk pengadaan barang dan jasa pemerintah adalah yang <m>menawarkan</m> harga terendah.	theme_obj_cxn	subordinate	relative_clause	monotransitive	np	theme	inanimate	concrete				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
54	63	ind_news_2011_300K	58683	Di tengah himpitan kesulitan ekonomi, masih ada yang	menawarkan	janji politis Ratu Adil akan kemakmuran dan kesejahteraan sosial masa depan.	Di tengah himpitan kesulitan ekonomi, masih ada yang <m>menawarkan</m> janji politis Ratu Adil akan kemakmuran dan kesejahteraan sosial masa depan.	theme_obj_cxn	subordinate	relative_clause	monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
81	90	ind_news_2011_300K	147888	Princess Noura bin Abdel-Rahman University for Girls di Riyadh, tentu saja akan	menawarkan	mata kuliah seperti kedokteran, farmasi, manajemen, ilmu komputer dan bahasa.	Princess Noura bin Abdel-Rahman University for Girls di Riyadh, tentu saja akan <m>menawarkan</m> mata kuliah seperti kedokteran, farmasi, manajemen, ilmu komputer dan bahasa.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract				yes	TRUE	TRUE	yes	TRUE	no			given_recipient	A-v-T
12	21	ind_news_2011_300K	224220	Pemerintah	menawarkan	empat seri sukuk negara yaitu IFR005 (reopening), IFR0007 (reopening), IFR0006 (reopening), dan IFR0010 (reopening).	Pemerintah <m>menawarkan</m> empat seri sukuk negara yaitu IFR005 (reopening), IFR0007 (reopening), IFR0006 (reopening), dan IFR0010 (reopening).	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
84	93	ind_news_2011_300K	73547	Amazon.com akan menawarkan aplikasi e-reader gratis yaitu Kindle dan Time Inc akan	menawarkan	langganan majalah Sports Illustrated dan People.	Amazon.com akan menawarkan aplikasi e-reader gratis yaitu Kindle dan Time Inc akan <m>menawarkan</m> langganan majalah Sports Illustrated dan People.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
73	82	ind_news_2009_300K	47872	Investor mendorong dolar lebih rendah setelah pertemuan G-7 di Istanbul	menawarkan	sedikit bukti yang menunjukkan upaya terkoordinasi untuk mengangkat greenback yang kendur.	Investor mendorong dolar lebih rendah setelah pertemuan G-7 di Istanbul <m>menawarkan</m> sedikit bukti yang menunjukkan upaya terkoordinasi untuk mengangkat greenback yang kendur.	theme_obj_cxn	subordinate	adverbial	monotransitive	np	theme	inanimate	concrete				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
145	154	ind_news_2009_300K	78060	Sebelumnya diwartakan ANTARA, Menteri Hubungan Asia negara bagian Northern Territory (NT), Australia, Christopher Bruce Burns, menyatakan telah	menawarkan	dukungan pendanaan kerja sama pemasaran Garuda di Darwin kepada pemerintah RI dan manajemen Garuda.	Sebelumnya diwartakan ANTARA, Menteri Hubungan Asia negara bagian Northern Territory (NT), Australia, Christopher Bruce Burns, menyatakan telah <m>menawarkan</m> dukungan pendanaan kerja sama pemasaran Garuda di Darwin kepada pemerintah RI dan manajemen Garuda.	theme_obj_cxn	subordinate	complement	monotransitive	np	theme	inanimate	abstract	pp_dative	kepada	inanimate	yes	TRUE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-T-R
52	61	ind_news_2011_300K	227877	"""Barangkali bisa dipikirkan kegiatan apa yang bisa"	menawarkan	"(pekerjaan) bagi yang kebetulan tidak dapat pekerjaan,"" kata Wapres."	"""Barangkali bisa dipikirkan kegiatan apa yang bisa <m>menawarkan</m> (pekerjaan) bagi yang kebetulan tidak dapat pekerjaan,"" kata Wapres."	theme_obj_cxn	subordinate	relative_clause	monotransitive	np	theme	inanimate	abstract	pp_dative	bagi	animate	yes	FALSE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-T-R
52	61	ind_news_2008_300K	202873	Namun, bertambahnya perguruan tinggi Thailand yang	menawarkan	pengajaran bahasa Indonesia mungkin bisa menjadi salah satu indikator, kata Prof Dr Didik Sulistyanto, atase pendidikan dan kebudayaan pada KBRI Bangkok.	Namun, bertambahnya perguruan tinggi Thailand yang <m>menawarkan</m> pengajaran bahasa Indonesia mungkin bisa menjadi salah satu indikator, kata Prof Dr Didik Sulistyanto, atase pendidikan dan kebudayaan pada KBRI Bangkok.	theme_obj_cxn	subordinate	relative_clause	monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
106	115	ind_news_2010_300K	97748	Setelah kematian Haim, kantor Brown menyatakan penyelidikan di daerah San Diego mendapati sejumlah orang	menawarkan	resep ilegal.	Setelah kematian Haim, kantor Brown menyatakan penyelidikan di daerah San Diego mendapati sejumlah orang <m>menawarkan</m> resep ilegal.	theme_obj_cxn	subordinate	complement	monotransitive	np	theme	inanimate	concrete				yes	TRUE	TRUE	yes	TRUE	no			given_recipient	A-v-T
10	19	ind_news_2010_300K	78475	Bernanke	menawarkan	"petunjuk mengenai kenaikan suku bunga karena bank sentral mengakhiri usaha stimulus yang sangat besar tetapi berpendapat bahwa kebijakan moneter ""akomodatif"" masih diperlukan untuk mempertahankan pemulihan."	"Bernanke <m>menawarkan</m> petunjuk mengenai kenaikan suku bunga karena bank sentral mengakhiri usaha stimulus yang sangat besar tetapi berpendapat bahwa kebijakan moneter ""akomodatif"" masih diperlukan untuk mempertahankan pemulihan."	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract				yes	TRUE	TRUE	yes	TRUE	no			given_recipient	A-v-T
83	92	ind_news_2010_300K	21087	Direktur Konservatorium Musik San Pietro a Majella, Patricio Marrone, Dubes Oemar	menawarkan	kerjasama antara Konservatorium San Pietro a Majella dengan STSI Bandung berupa pertukaran pelajar maupun dosen.	Direktur Konservatorium Musik San Pietro a Majella, Patricio Marrone, Dubes Oemar <m>menawarkan</m> kerjasama antara Konservatorium San Pietro a Majella dengan STSI Bandung berupa pertukaran pelajar maupun dosen.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract				yes	TRUE	TRUE	yes	TRUE	no			given_recipient	A-v-T
45	54	ind_news_2012_300K	26861	"""Kami menghadirkan `Paket Super Hemat` yang"	menawarkan	"layanan telepon, SMS, serta layanan Internet dengan satu harga untuk semua kebutuhan,"" kata Chief Marketing Officer AXIS Daniel Horan dalam pernyataan tertulis yang diterima ANTARA, Selasa."	"""Kami menghadirkan `Paket Super Hemat` yang <m>menawarkan</m> layanan telepon, SMS, serta layanan Internet dengan satu harga untuk semua kebutuhan,"" kata Chief Marketing Officer AXIS Daniel Horan dalam pernyataan tertulis yang diterima ANTARA, Selasa."	theme_obj_cxn	subordinate	relative_clause	monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
29	38	ind_news_2012_300K	234915	Untuk sistem keamanan, Dell	menawarkan	Dell Data Protection I Encryption dan FIPS (Federal Information Processing Standards dengan tingkat keamanan paling tinggi.	Untuk sistem keamanan, Dell <m>menawarkan</m> Dell Data Protection I Encryption dan FIPS (Federal Information Processing Standards dengan tingkat keamanan paling tinggi.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
85	94	ind_news_2011_300K	45718	Ia mengatakan, melihat keberhasilan ajang penghargaan ini pada 2008, APB Foundation	menawarkan	kesempatan kepada para seniman dari seluruh wilayah Asia Pasifik untuk dipilih dalam ajang penghargaan ini.	Ia mengatakan, melihat keberhasilan ajang penghargaan ini pada 2008, APB Foundation <m>menawarkan</m> kesempatan kepada para seniman dari seluruh wilayah Asia Pasifik untuk dipilih dalam ajang penghargaan ini.	theme_obj_cxn	subordinate	complement	monotransitive	np	theme	inanimate	abstract	pp_dative	kepada	animate	yes	FALSE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-T-R
45	54	ind_news_2010_300K	263182	Hilmi menjelaskan, Presiden Yudhoyono sudah	menawarkan	koalisi permanen kepada PKS sejak sebelum terpilih sebagai Presiden yang kedua kalinya pada 1999.	Hilmi menjelaskan, Presiden Yudhoyono sudah <m>menawarkan</m> koalisi permanen kepada PKS sejak sebelum terpilih sebagai Presiden yang kedua kalinya pada 1999.	theme_obj_cxn	subordinate	complement	monotransitive	np	theme	inanimate	abstract	pp_dative	kepada	inanimate	yes	TRUE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-T-R
22	31	ind_news_2008_300K	152508	Pemerintah Indonesia	menawarkan	dua opsi pembangunan hutan tanaman, yakni pertama dengan membangun hutan tanaman yang benar-benar baru dan opsi kedua melalui akuisisi perusahaan hutan tanaman yang sudah ada.	Pemerintah Indonesia <m>menawarkan</m> dua opsi pembangunan hutan tanaman, yakni pertama dengan membangun hutan tanaman yang benar-benar baru dan opsi kedua melalui akuisisi perusahaan hutan tanaman yang sudah ada.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
68	77	ind_news_2008_300K	34188	"""Ini semua tergantung dari kreativitas para penyedia content dalam"	menawarkan	"kepada masyarakat,"" jelasnya."	"""Ini semua tergantung dari kreativitas para penyedia content dalam <m>menawarkan</m> kepada masyarakat,"" jelasnya."		subordinate	adverbial	intransitive					pp_dative	kepada	animate	yes	TRUE	FALSE	no		yes	FALSE	oblique		A-v-R
15	24	ind_news_2008_300K	290178	Investor juga	menawarkan	kepada Gubernur Beratha pembangunan jalur baru di atas permukaan laut yang menghubungkan Bandara Ngurah Rai-Nusa Dua sepanjang 4,5 km.	Investor juga <m>menawarkan</m> kepada Gubernur Beratha pembangunan jalur baru di atas permukaan laut yang menghubungkan Bandara Ngurah Rai-Nusa Dua sepanjang 4,5 km.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract	pp_dative	kepada	animate	yes	TRUE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-R-T
42	51	ind_news_2008_300K	209163	Arab Saudi berada di balik prakarsa yang	menawarkan	pengakuan Arab pada Israel jika negara itu melepaskan tanah yang diduduki pada 1967 dan menerima penyelesaian bagi pengungsi Palestina.	Arab Saudi berada di balik prakarsa yang <m>menawarkan</m> pengakuan Arab pada Israel jika negara itu melepaskan tanah yang diduduki pada 1967 dan menerima penyelesaian bagi pengungsi Palestina.	theme_obj_cxn	subordinate	relative_clause	monotransitive	np	theme	inanimate	abstract	pp_dative	pada	inanimate	yes	FALSE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-T-R
95	104	ind_news_2009_300K	162935	Pelatih berpenampilan flamboyan asal Italia yang kini telah mulai fasih berbahasa Inggris itu	menawarkan	butir-butir pencerahan.	Pelatih berpenampilan flamboyan asal Italia yang kini telah mulai fasih berbahasa Inggris itu <m>menawarkan</m> butir-butir pencerahan.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract				yes	TRUE	TRUE	yes	TRUE	no			given_recipient	A-v-T
67	76	ind_news_2008_300K	51286	Sementara untuk konsumen yang mengedepankan technology minded, HP	menawarkan	seri Pavilion melalui d4 (14,1 inchi) dan d7 (17 inci).	Sementara untuk konsumen yang mengedepankan technology minded, HP <m>menawarkan</m> seri Pavilion melalui d4 (14,1 inchi) dan d7 (17 inci).	theme_obj_cxn	main		monotransitive	np	theme	inanimate	concrete				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
54	63	ind_news_2010_300K	225689	Setiap perusahaan besar pembuat mobil kini berencana	menawarkan	"beberapa jenis mobil listrik atau ""plug in Hybrid"" dalam beberapa tahun ke depan."	"Setiap perusahaan besar pembuat mobil kini berencana <m>menawarkan</m> beberapa jenis mobil listrik atau ""plug in Hybrid"" dalam beberapa tahun ke depan."	theme_obj_cxn	subordinate	complement	monotransitive	np	theme	inanimate	concrete				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
47	56	ind_news_2009_300K	138709	"""Meski dalam suratnya pihak manajemen Rihanna"	menawarkan	"untuk menjadwal ulang, namun kita akan pertimbangkan kembali masak-masak,"" ujar Troy."	"""Meski dalam suratnya pihak manajemen Rihanna <m>menawarkan</m> untuk menjadwal ulang, namun kita akan pertimbangkan kembali masak-masak,"" ujar Troy."	theme_obj_cxn	subordinate	adverbial	monotransitive	clause	theme	inanimate	abstract				yes	TRUE	TRUE	yes	TRUE	no			given_recipient	A-v-T
107	116	ind_news_2012_300K	104346	"Profesor bioteknologi hewan University of Edinburgh Bruce Whitelaw mengatakan riset di Selandia Baru ini """	menawarkan	"contoh baik tentang bagaimana teknologi dapat digunakan untuk memberikan strategi alternatif bagi proses manufaktur yang ada sekarang."""	"Profesor bioteknologi hewan University of Edinburgh Bruce Whitelaw mengatakan riset di Selandia Baru ini ""<m>menawarkan</m> contoh baik tentang bagaimana teknologi dapat digunakan untuk memberikan strategi alternatif bagi proses manufaktur yang ada sekarang."""	theme_obj_cxn	subordinate	complement	monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
117	126	ind_news_2009_300K	46350	Ia baru-baru ini menjauhkan diri dari pernyataan yang dilaporkan disampaikan pada Desember oleh Olmert bahwa Israel	menawarkan	dalam perundingan dengan Palestina untuk memindahkan 60.000 pemukim dari Tepi Barat Sungai Jordan.	Ia baru-baru ini menjauhkan diri dari pernyataan yang dilaporkan disampaikan pada Desember oleh Olmert bahwa Israel <m>menawarkan</m> dalam perundingan dengan Palestina untuk memindahkan 60.000 pemukim dari Tepi Barat Sungai Jordan.	theme_obj_cxn	subordinate	complement	monotransitive	clause	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
24	33	ind_news_2010_300K	198860	Satu klinik di Arizona	menawarkan	"pengobatan dengan dasar ""intensif"", dan pasien berobat jalan selama empat hari."	"Satu klinik di Arizona <m>menawarkan</m> pengobatan dengan dasar ""intensif"", dan pasien berobat jalan selama empat hari."	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
33	42	ind_news_2008_300K	217189	Menurut Tim JPU, Azmun kemudian	menawarkan	pengambil alihan (take over) PT Madukoro dan CV Harapan Jaya kepada PT Riau Andalan Pulp And Paper (RAPP) karena menyadari kedua perusahaan bentukan tadi tidak memiliki kemampuan mengelola areal hutan.	Menurut Tim JPU, Azmun kemudian <m>menawarkan</m> pengambil alihan (take over) PT Madukoro dan CV Harapan Jaya kepada PT Riau Andalan Pulp And Paper (RAPP) karena menyadari kedua perusahaan bentukan tadi tidak memiliki kemampuan mengelola areal hutan.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract	pp_dative	kepada	inanimate	yes	TRUE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-T-R
100	109	ind_news_2010_300K	102201	Indonesia yang memiliki sekitar 5 juta kilometer persegi laut di dalam wilayah kedaulatannya, akan	menawarkan	satu pemikiran tentang kesepakatan terkait kelautan yang merupakan tindak lanjut dari Konferensi Kelautan Dunia (WOC) di Manado, Mei 2009.	Indonesia yang memiliki sekitar 5 juta kilometer persegi laut di dalam wilayah kedaulatannya, akan <m>menawarkan</m> satu pemikiran tentang kesepakatan terkait kelautan yang merupakan tindak lanjut dari Konferensi Kelautan Dunia (WOC) di Manado, Mei 2009.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
136	145	ind_news_2011_300K	139955	Laman itu, yang dikatakan Rowling dikerjakannya selama dua tahun, berjanji untuk memanjkan penggunanya dalam dunia penyihir laki-laki,	menawarkan	kesempatan untuk bermain komputer gaming, berjejaring sosial dan sebuah toko online.	Laman itu, yang dikatakan Rowling dikerjakannya selama dua tahun, berjanji untuk memanjkan penggunanya dalam dunia penyihir laki-laki, <m>menawarkan</m> kesempatan untuk bermain komputer gaming, berjejaring sosial dan sebuah toko online.	theme_obj_cxn	subordinate	complement	monotransitive	np	theme	inanimate	abstract				yes	FALSE	TRUE	yes	TRUE	no			given_recipient	A-v-T
6	15	ind_news_2009_300K	57460	Kami	menawarkan	"dua tipe yang dapat dipilih konsumen antara lain harga Rp241 juta per unit untuk tipe biasa dan Rp261 juta per unit untuk tipe sliding door,"" katanya."	"Kami <m>menawarkan</m> dua tipe yang dapat dipilih konsumen antara lain harga Rp241 juta per unit untuk tipe biasa dan Rp261 juta per unit untuk tipe sliding door,"" katanya."	theme_obj_cxn	main		monotransitive	np	theme	inanimate	concrete				yes	TRUE	TRUE	yes	TRUE	no			given_recipient	A-v-T
7	16	ind_news_2011_300K	287865	""" Dia"	menawarkan	kepada semua pengguna iPhone 4 wadah yang terbuat dari karet untuk membantu mengurangi masalah.	""" Dia <m>menawarkan</m> kepada semua pengguna iPhone 4 wadah yang terbuat dari karet untuk membantu mengurangi masalah."	theme_obj_cxn	main		monotransitive	np	theme	inanimate	concrete	pp_dative	kepada	animate	yes	TRUE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-R-T
101	110	ind_news_2010_300K	165695	"""Pemerintah Northern Teritorry tertarik dengan wisata Maluku, terutama kesenian dan budaya sehingga"	menawarkan	"menggelar ""Ambon Night`""` di Darwin,"" ujarnya."	"""Pemerintah Northern Teritorry tertarik dengan wisata Maluku, terutama kesenian dan budaya sehingga <m>menawarkan</m> menggelar ""Ambon Night`""` di Darwin,"" ujarnya."	theme_obj_cxn	subordinate	adverbial	monotransitive	clause	theme	inanimate	abstract				yes	FALSE	FALSE	yes	TRUE	no			given_recipient	A-v-T
99	108	ind_news_2008_300K	33614	Terjadinya kenaikan harga pangan ini yang merasakan langsung penduduk miskin, tetapi di sisi lain	menawarkan	kesempatan bagi negara produsen pangan, seperti Indonesia untuk lebih kreatif lagi.	Terjadinya kenaikan harga pangan ini yang merasakan langsung penduduk miskin, tetapi di sisi lain <m>menawarkan</m> kesempatan bagi negara produsen pangan, seperti Indonesia untuk lebih kreatif lagi.	theme_obj_cxn	main		monotransitive	np	theme	inanimate	abstract	pp_dative	bagi	inanimate	yes	FALSE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-T-R
100	109	ind_news_2011_300K	17183	Pembuat kemasan karton bergelombang Temple-Inland melonjak 40,4 persen setelah International Paper	menawarkan	"pengambilalihan 3,3 miliar dolar AS bagi perusahaan, yang ditolak dewan pada Senin karena terlalu ""undervalue""."	"Pembuat kemasan karton bergelombang Temple-Inland melonjak 40,4 persen setelah International Paper <m>menawarkan</m> pengambilalihan 3,3 miliar dolar AS bagi perusahaan, yang ditolak dewan pada Senin karena terlalu ""undervalue""."	theme_obj_cxn	subordinate	adverbial	monotransitive	np	theme	inanimate	abstract	pp_dative	bagi	inanimate	yes	FALSE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-T-R
174	183	ind_news_2008_300K	189496	Ia menjelaskan, pada rapat pleno KY yang berlangsung 25 Juli 2007 telah menyampaikan adanya sinyalemen tersebut dengan mengatakan bahwa ada indikasi pemilik tanah di Kramat	menawarkan	sejumlah uang bila tanahnya dibeli.	Ia menjelaskan, pada rapat pleno KY yang berlangsung 25 Juli 2007 telah menyampaikan adanya sinyalemen tersebut dengan mengatakan bahwa ada indikasi pemilik tanah di Kramat <m>menawarkan</m> sejumlah uang bila tanahnya dibeli.	theme_obj_cxn	subordinate	complement	monotransitive	np	theme	inanimate	concrete				yes	TRUE	TRUE	yes	TRUE	no			given_recipient	A-v-T
71	80	ind_news_2011_300K	26153	Penjualan tiket pada tahap awal juga lesu, sementara ada promosi yang	menawarkan	tiket masuk gratis buat orang tua, sehingga menimbulkan sakit kepala bagi petugas gerbang.	Penjualan tiket pada tahap awal juga lesu, sementara ada promosi yang <m>menawarkan</m> tiket masuk gratis buat orang tua, sehingga menimbulkan sakit kepala bagi petugas gerbang.	theme_obj_cxn	subordinate	adverbial	monotransitive	np	theme	inanimate	concrete	pp_dative	buat	animate	yes	FALSE	TRUE	yes	TRUE	yes	FALSE	oblique		A-v-T-R
